id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
5040377,Seascape Resort Villa - Gorgeous Ocean View,24413952,Power West,,Unincorporated Areas,36.94913,-121.87536,Entire home/apt,460,2,196,2022-09-11,2.16,29,361,19,
5090998,Peaceful Creekside Studio Under the Redwoods,8596302,Tari,,Unincorporated Areas,37.05537,-122.07939,Entire home/apt,158,3,110,2022-09-23,1.19,1,276,21,
5128309,Vista Delfino - on Monterey Bay,26510674,Karen,,Unincorporated Areas,36.96737,-121.9023,Entire home/apt,295,2,96,2022-09-05,1.05,1,187,15,
5153010,Cozy house near the beach,25908646,Sally,,City of Santa Cruz,36.95633,-122.03033,Entire home/apt,350,2,290,2022-08-27,3.14,1,89,39,
5193718,Harmony & Labyrinth by the Bay,484150,Pete,,Unincorporated Areas,36.97409,-121.98085,Private room,173,1,494,2022-09-23,5.37,1,339,55,
5306466,The Cowboy Room @ FlipJack Ranch Bed & Breakfast,14658925,Robin,,Unincorporated Areas,37.03516,-122.14462,Private room,331,2,139,2022-07-16,1.50,4,41,22,
5309031,Beautiful Home in Pleasure Point,5238718,Daniela,,City of Capitola,36.95815,-121.97216,Entire home/apt,219,2,356,2022-09-08,3.84,1,359,55,
5328145,SantaCruz-Aptos-Beach Home-by-The -Sea,26598591,Myra,,Unincorporated Areas,36.97153,-121.90045,Entire home/apt,188,3,202,2022-09-18,2.18,1,164,34,
5395988,Jade Studio by Beach at Jasmine Garden Oasis,17966712,Marie & Peter,,Unincorporated Areas,36.96544,-121.985,Entire home/apt,105,1,840,2022-09-25,9.08,2,94,100,
5443596,Pleasure Pt Beach Home/Moran Lagoon View,20495088,De Anna,,City of Capitola,36.96073,-121.97431,Entire home/apt,350,5,138,2022-07-31,1.52,1,147,19,
5444278,Vacation at Seahaven in Santa Cruz!,100114471,Janiece,,City of Capitola,36.95712,-121.97426,Entire home/apt,379,2,176,2022-09-18,2.04,13,328,41,
5517422,Updated Beach House; 5 minute walk to Beach,282520,Jennifer,,Unincorporated Areas,36.96506,-121.99116,Entire home/apt,185,2,337,2022-09-12,3.69,1,200,47,
5658791,La Maison: Summertime Splendor in a ring of oaks,29331037,Brad,,Unincorporated Areas,37.04925,-122.0526,Entire home/apt,325,5,8,2022-08-19,0.20,2,0,1,
5694324,Sun-flooded Peace of Paradise/UCSC,29515936,Claudia,,City of Santa Cruz,36.98038,-122.04123,Private room,124,5,17,2015-08-30,0.19,1,0,0,
5748537,Santa Cruz Launchpad Studio Suite,5733253,Mp,,City of Scotts Valley,37.04381,-122.01923,Entire home/apt,85,20,34,2022-08-19,0.41,3,176,2,
5770732,Sunny Private Studio Near Harbor & Beach,1489277,Gabriel,,City of Santa Cruz,36.98225,-121.99177,Entire home/apt,149,2,137,2022-09-18,1.78,6,0,41,
5775374,Manresa Surf House- The Beach House,29965666,Monica And Mike,,Unincorporated Areas,36.93631,-121.86004,Entire home/apt,589,2,103,2022-09-05,2.42,8,340,31,
5784008,2 great granny apts in quiet area,5733253,Mp,,City of Scotts Valley,37.04377,-122.02088,Entire home/apt,150,14,0,,,3,0,0,
5826034,"Cozy room with a private entrance, on the westside",27018411,Toni,,City of Santa Cruz,36.96829,-122.03685,Entire home/apt,127,1,586,2022-09-11,6.43,2,329,105,
5955532,House 81,29898175,At The Dunes,,Unincorporated Areas,36.855431,-121.812286,Entire home/apt,816,1,91,2022-07-23,1.00,32,273,12,
